row_index,pairId,entryId,artefact,table_id,summary_idx,question_idx,question_text,rendered_path,variant_a,variant_b
"0","datahub_2_s1_q1_gen1_sug4.png__gen1_sug2.png","datahub_2_s1_q1_gen1_sug4.png__gen1_sug2.png","datahub","2","1","1","How has the annual average price of gold evolved from 1833 through 2025 across major historical periods?","charts/datahub/2/sum1_ques1","gen1_sug4.png","gen1_sug2.png"
"1","datahub_1_s1_q1_gen2_sug1.png__gen2_sug3.png","datahub_1_s1_q1_gen2_sug1.png__gen2_sug3.png","datahub","1","1","1","How has global mean sea level change evolved across the yearly time span covered by the dataset?","charts/datahub/1/sum1_ques1","gen2_sug1.png","gen2_sug3.png"
"2","datahub_1_s1_q1_gen2_sug1.png__gen1_sug3.png","datahub_1_s1_q1_gen2_sug1.png__gen1_sug3.png","datahub","1","1","1","How has global mean sea level change evolved across the yearly time span covered by the dataset?","charts/datahub/1/sum1_ques1","gen2_sug1.png","gen1_sug3.png"
"3","datahub_1_s1_q6_gen4_sug2.png__gen4_sug1.png","datahub_1_s1_q6_gen4_sug2.png__gen4_sug1.png","datahub","1","1","6","What periods exhibit relatively stable versus highly variable global mean sea level change over consecutive years?","charts/datahub/1/sum1_ques6","gen4_sug2.png","gen4_sug1.png"
"4","datahub_0_s1_q6_gen1_sug4.png__gen2_sug1.png","datahub_0_s1_q6_gen1_sug4.png__gen2_sug1.png","datahub","0","1","6","How closely do monthly global mean sea level measurements track the smoothed values throughout the time series?","charts/datahub/0/sum1_ques6","gen1_sug4.png","gen2_sug1.png"
"5","datahub_0_s1_q6_gen1_sug3.png__gen1_sug1.png","datahub_0_s1_q6_gen1_sug3.png__gen1_sug1.png","datahub","0","1","6","How closely do monthly global mean sea level measurements track the smoothed values throughout the time series?","charts/datahub/0/sum1_ques6","gen1_sug3.png","gen1_sug1.png"
"6","datahub_0_s1_q3_gen1_sug1_fixed.png__gen2_sug2.png","datahub_0_s1_q3_gen1_sug1_fixed.png__gen2_sug2.png","datahub","0","1","3","During which time periods does the monthly global mean sea level show the greatest deviations from the smoothed trend?","charts/datahub/0/sum1_ques3","gen1_sug1_fixed.png","gen2_sug2.png"
"7","datahub_7_s4_q4_gen1_sug4.png__gen4_sug2.png","datahub_7_s4_q4_gen1_sug4.png__gen4_sug2.png","datahub","7","4","4","Are there matches where high foul counts do not result in any red cards, indicating potential disciplinary anomalies?","charts/datahub/7/sum4_ques4","gen1_sug4.png","gen4_sug2.png"
"8","datahub_9_s1_q6_gen2_sug1.png__gen2_sug6.png","datahub_9_s1_q6_gen2_sug1.png__gen2_sug6.png","datahub","9","1","6","Are there outlier models whose training compute cost is unusually high relative to their parameter count?","charts/datahub/9/sum1_ques6","gen2_sug1.png","gen2_sug6.png"
"9","datahub_10_s3_q1_gen2_sug1.png__gen1_sug4.png","datahub_10_s3_q1_gen2_sug1.png__gen1_sug4.png","datahub","10","3","1","How does the typical training dataset size vary across different model domains?","charts/datahub/10/sum3_ques1","gen2_sug1.png","gen1_sug4.png"
"10","datahub_10_s1_q1_gen2_sug2.png__gen2_sug3.png","datahub_10_s1_q1_gen2_sug2.png__gen2_sug3.png","datahub","10","1","1","How have reported parameter counts of AI models changed over publication dates?","charts/datahub/10/sum1_ques1","gen2_sug2.png","gen2_sug3.png"
"11","datahub_10_s1_q1_gen1_sug3.png__gen2_sug2.png","datahub_10_s1_q1_gen1_sug3.png__gen2_sug2.png","datahub","10","1","1","How have reported parameter counts of AI models changed over publication dates?","charts/datahub/10/sum1_ques1","gen1_sug3.png","gen2_sug2.png"
"12","datahub_0_s1_q2_gen2_sug1.png__gen2_sug4.png","datahub_0_s1_q2_gen2_sug1.png__gen2_sug4.png","datahub","0","1","2","During which decades does the long-term sea level trend appear to accelerate most noticeably?","charts/datahub/0/sum1_ques2","gen2_sug1.png","gen2_sug4.png"
"13","datahub_0_s1_q5_gen2_sug1.png__gen2_sug2.png","datahub_0_s1_q5_gen2_sug1.png__gen2_sug2.png","datahub","0","1","5","Are there identifiable periods where monthly sea level values fluctuate widely while the smoothed trend remains relatively stable?","charts/datahub/0/sum1_ques5","gen2_sug1.png","gen2_sug2.png"
"14","datahub_1_s1_q1_gen2_sug1.png__gen2_sug2.png","datahub_1_s1_q1_gen2_sug1.png__gen2_sug2.png","datahub","1","1","1","How has the global average sea level change evolved from the early 1990s to 2019?","charts/datahub/1/sum1_ques1","gen2_sug1.png","gen2_sug2.png"
"15","datahub_1_s1_q1_gen2_sug4.png__gen2_sug2.png","datahub_1_s1_q1_gen2_sug4.png__gen2_sug2.png","datahub","1","1","1","How has the global average sea level change evolved from the early 1990s to 2019?","charts/datahub/1/sum1_ques1","gen2_sug4.png","gen2_sug2.png"
"16","datahub_1_s1_q5_gen2_sug2.png__gen2_sug4.png","datahub_1_s1_q5_gen2_sug2.png__gen2_sug4.png","datahub","1","1","5","How does the pace of sea level rise in the first decade after 1993 compare to the pace in the most recent decade?","charts/datahub/1/sum1_ques5","gen2_sug2.png","gen2_sug4.png"
"17","datahub_1_s1_q5_gen2_sug1.png__gen2_sug2.png","datahub_1_s1_q5_gen2_sug1.png__gen2_sug2.png","datahub","1","1","5","How does the pace of sea level rise in the first decade after 1993 compare to the pace in the most recent decade?","charts/datahub/1/sum1_ques5","gen2_sug1.png","gen2_sug2.png"
"18","datahub_1_s1_q7_gen2_sug1.png__gen2_sug2.png","datahub_1_s1_q7_gen2_sug1.png__gen2_sug2.png","datahub","1","1","7","Which consecutive years show a notably sharper jump in sea level compared to surrounding years?","charts/datahub/1/sum1_ques7","gen2_sug1.png","gen2_sug2.png"
"19","datahub_2_s1_q1_gen1_sug4.png__gen2_sug1.png","datahub_2_s1_q1_gen1_sug4.png__gen2_sug1.png","datahub","2","1","1","How has the average value of gold changed from the early 1830s to recent years like 2020 through 2025?","charts/datahub/2/sum1_ques1","gen1_sug4.png","gen2_sug1.png"
